View and Edit Cart,Se din varukorg
Ask Your Question,Stil spørgsmål til produktet
Gå til produkt &amp; Vælg variant,Läs mer och välj variant
Go to product,Läs mer
Choose variant,Välj variant
Flere varianter,Fler varianter
From,Från
Apptrian Extensions,Apptrian Extensions
Info,Info
About,About
General,General
Enabled,Enabled
Enables or disables extension.,Enables or disables extension.
freeShippingTreshold,650
Choose variant,Välj variant
Free delivery,Fri leverans
for purchase over A,för köp över 650kr
for purchase over B,för köp över 750kr
100% Secure e-commerce,100% säker e-handel
Approved by the E-market,Godkänd av E-marknaden
Therefore choose this item:,Därför ska du välja denna varan:
USD,$
DKK,kr
SEK,kr
NOTE: SKU ,OBS! Artikelnummer 
 is out of stock and is expected to be back on , är restnoterad och förväntas åter finnas i lager 
". If you order now, your order will be processed now and shipped immediately when back on stock.",". Beställer du nu, kommer din order att skickas direkt när artikeln finns åter i lager."
Print product page,Skriv ut produktblad
Send link via mail,Skicka länk via mail
Are you sure you would like to remove this item from the shopping cart?,Är du säker på att du vill ta bort denna artikel från varukorgen?
Item in Cart,Artikel i varukorgen
Items in Cart,Artiklar i varukorgen
Toggle Nav,Meny
Measurements & Dimensions,Mått och Dimensioner
", can we ask a few quick questions?",", kan vi ställa några snabba frågor?"
Bedøm din samlede købsoplevelse på hjemmesiden på en skala fra 1 til 10?,Bedöm din totala köpupplevelse på webbplatsen på en skala från 1 till 10.
Kontaktede du vores kundeservice forud for dit køb?,Hade du kontakt med vår kundtjänst innan ditt köp?
"Ja, per telefon","Ja, via telefon."
"Ja, per mail","Ja, via e-post"
"Ja, i showroom","Ja, jag showroom"
Nej,Nej
Hvad var vigtigt for at du handlede hos os?,Vad var viktigt för dig när du handlade hos oss?
Pris,Pris
Leveringstid,Leveranstid
Sortiment,Sortiment
Nemt at anvende shoppen,Lätt att använda butiken
Tryghed ved at handle hos en specialist,Trygghet vid att handla från en specialist
"Hvor stor er din erfaring med at arbejde med stiger, stilladser o.lign. produkter?","Hur stor är din erfarenhet av att arbeta med stegar, ställningar och liknande produkter?"
Har du forslag til forbedring af hjemmesiden?,Har du förslag på hur vi kan förbättra vår hemsida?
Begynder (Lidt eller ingen erfaring),Nybörjare (Liten eller ingen erfarenhet)
"Mellem (Lidt erfaring, men ikke ekspert)","Erfaren (Liten erfarenhet, men inte expert)"
Ekspert (Hyppig brug og komfortabel i brugen),Expert (Frekvent användning och bekväm med användningen)
"Forud for dit køb, kendte du et eller flere af disse mærker?","För ditt köp, kände du till något eller några av dessa varumärken?"
Silkeborg Stigefabrik,Silkeborgs Stegfabrik
Zarges,Zarges
Dolle,Dolle
Hvordan kan vi forbedre vores service?,Hur kan vi förbättra vår service?
"Er der andet feedback, du gerne vil give os?",Har du annan feedback du vill ge oss?
Thank you!,Tack!
for answering our questions,för att du har svarat på våra frågor.
Hvilken branche beskriver bedst din virksomhed,Vilken bransch beskriver ditt företag bäst?
Andet,Annan
Medicinal,Medicinsk
Transport,Transport
Fødevarer,Livsmedel
Byggeri,Bygg
Har du styr på det lovligpligtige årlige stigeftersyn?,Har du koll på den årliga steginspektionen?
"Lovpligtigt? Nej, det kender jeg ikke til.","Årliga steginspektionen? Nej, jag är inte medveten om det."
Ja da! Det er fuldt dokumenteret.,Absolut! Det är fullständigt dokumenterat.
Submit a reply,Lämna in svar
Thank you!,Tack
for answering our questions,
"Show Results","Visa resultat"
"Full review","Se recensionen här"
